Etunimi;Lukumäärä
Christopher;1157
Christos;40
Chukwudi;7
Chukwuebuka;6
Chukwuemeka;18
Chukwuma;8
Chun;19
Chung;15
Cian;19
Ciaran;5
Cicero;5
Cihan;14
Cim;7
Cimi;6
Cimraan;6
Ciprian;10
Ciro;10
Civan;6
Ciya;6
Claes;160
Claës;10
Claes-Göran;10
Claes-Henrik;8
Clarence;17
Clarens;6
Clark;22
Clas;184
Clas-Åke;6
Clas-Erik;8
Clas-Göran;29
Clas-Henrik;7
Clas-Johan;5
Claude;48
Claudio;63
Claudiu;5
Claudius;17
Claus;121
Clay;5
Clayton;11
Clemens;10
Clement;17
Clément;7
Clemente;6
Cliff;7
Clifford;24
Clifton;8
Clinton;9
Clive;5
Clovis;6
Clyde;9
Coby;5
Cody;21
Cole;19
Colin;200
Collin;19
Collins;13
Colton;5
Columbus;7
Conan;10
Cong;46
Conner;5
Connor;41
Conny;275
Conor;18
Conrad;103
Constantin;91
Constantine;12
Constantinos;9
Cooper;23
Corey;6
Cornelis;41
Cornelius;34
Cosimo;10
Coskun;7
Cosmo;60
Costa;5
Courage;6
Craig;25
Crispian;5
Crispin;8
Crister;93
Cristian;901
Cristiano;36
Cristo;7
Cristobal;7
Cristofer;20
Cristoffer;35
Cristopher;20
Cruz;7
Csaba;16
Cumhur;7
Cuong;39
Curt;157
Curtis;13
Cyril;20
Cyrus;16
D;5
Daahir;11
Daan;12
Daani;6
Daaniel;10
Daavid;138
Dag;114
Dage;36
Dagiro;5
Dahir;72
Dai;26
Daiki;5
Daisuke;6
Dakhil;10
Dakota;5
Dale;15
Dalha;5
Dalmar;7
Dalton;11
Damian;128
Damiano;7
Damiel;9
Damien;165
Damir;33
Damon;23
Dan;1494
Dana;27
Dan-Anders;39
Dane;9
Danel;19
Dánel;5
Dan-Erik;51
Dang;30
Danh;11
Dan-Henrik;7
Dani;573
Danial;60
Daniar;9
Daniel;15056
Daniël;9
Dániel;15
Daniele;65
Daniil;209
Danijel;6
